#flow_id,protocol,first_seen,last_seen,duration,src_ip,src_port,dst_ip,dst_port,ndpi_proto_num,ndpi_proto,server_name_sni,c_to_s_pkts,c_to_s_bytes,c_to_s_goodput_bytes,s_to_c_pkts,s_to_c_bytes,s_to_c_goodput_bytes,data_ratio,str_data_ratio,c_to_s_goodput_ratio,s_to_c_goodput_ratio,iat_flow_min,iat_flow_avg,iat_flow_max,iat_flow_stddev,iat_c_to_s_min,iat_c_to_s_avg,iat_c_to_s_max,iat_c_to_s_stddev,iat_s_to_c_min,iat_s_to_c_avg,iat_s_to_c_max,iat_s_to_c_stddev,pktlen_c_to_s_min,pktlen_c_to_s_avg,pktlen_c_to_s_max,pktlen_c_to_s_stddev,pktlen_s_to_c_min,pktlen_s_to_c_avg,pktlen_s_to_c_max,pktlen_s_to_c_stddev,cwr,ece,urg,ack,psh,rst,syn,fin,c_to_s_cwr,c_to_s_ece,c_to_s_urg,c_to_s_ack,c_to_s_psh,c_to_s_rst,c_to_s_syn,c_to_s_fin,s_to_c_cwr,s_to_c_ece,s_to_c_urg,s_to_c_ack,s_to_c_psh,s_to_c_rst,s_to_c_syn,s_to_c_fin,c_to_s_init_win,s_to_c_init_win,server_info,tls_version,ja3c,tls_client_unsafe,ja3s,tls_server_unsafe,tls_alpn,tls_supported_versions,ssh_client_hassh,ssh_server_hassh,flow_info,plen_bins,http_user_agent
42,17,1650477352.314,1650477445.816,93.502,192.168.1.6,5353,192.168.1.23,5353,8,MDNS,_companion-link._tcp.local,2,806,722,0,0,0,1.000,Upload,89.5,0.0,93502,93502.0,93502,0.0,93502,93502.0,93502,0.0,0,0.0,0,0.0,403,403.0,403,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,,,,_companion-link._tcp.local,0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,

123,17,1650477554.417,1650477554.433,0.016,192.168.1.6,59832,192.168.1.1,53,5,DNS,public-treatment.prod-experimentation.grammarlyaws.com,1,114,72,1,198,156,-0.269,Download,62.6,78.4,16,16.0,16,0.0,0,0.0,0,0.0,0,0.0,0,0.0,114,114.0,114,0.0,198,198.0,198,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,,,,::,0;0;50;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,

10,1,1650477309.725,1650477545.789,236.064,192.168.1.6,0,192.168.1.1,0,81,ICMP,,2,140,56,0,0,0,1.000,Upload,39.7,0.0,236064,236064.0,236064,0.0,236064,236064.0,236064,0.0,0,0.0,0,0.0,70,70.0,70,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,,,,,100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,

44,17,1650477369.470,1650477369.470,0.000,192.168.1.6,5353,192.168.1.33,5353,8,MDNS,coline???s_macbook_pro._companion-link._tcp.local,1,206,164,0,0,0,1.000,Upload,79.2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,206,206.0,206,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,,,,coline???s_macbook_pro._companion-link._tcp.local,0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,

101,6,1650477492.525,1650477493.164,0.639,192.168.1.6,60721,140.82.114.21,443,91.203,TLS.Github,collector.github.com,20,3877,2533,14,5272,4327,-0.152,Mixed,65.3,82.1,1,90.0,168,61.6,0,30.0,168,53.9,0,37.3,150,58.0,66,193.9,1490,323.9,68,376.6,1490,496.1,0,0,0,33,15,0,2,0,0,0,0,19,8,0,1,0,0,0,0,14,7,0,1,0,78,76,,TLSv1.3,656b9a2f4de6ed4909e157482860ab3d,OK,f4febc55ea12b31ae17cfb7e614afda8,OK,h2;http/1.1,,,,h2;http/1.1,16;27;16;0;0;0;0;0;0;0;5;0;0;0;0;0;11;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0,

118,6,1650477554.112,1650477554.476,0.364,192.168.1.6,60729,17.248.180.15,443,91.143,TLS.AppleiCloud,p71-quota.icloud.com,14,2749,1789,16,14617,13545,-0.683,Download,65.1,92.7,1,41.5,220,68.2,0,10.3,31,11.7,0,23.2,220,57.8,66,196.4,1245,319.4,68,913.6,1506,657.1,0,0,0,29,11,0,2,0,0,0,0,13,3,0,1,0,0,0,0,16,8,0,1,0,78,76,,TLSv1.2,656b9a2f4de6ed4909e157482860ab3d,OK,,0,http/1.1,,,,http/1.1,0;6;6;0;0;0;0;6;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;53;0;0,

66,6,1650477429.584,1650477549.774,120.190,192.168.1.6,60705,142.250.200.46,443,91.126,TLS.Google,play.google.com,19,2418,1152,19,9257,7971,-0.586,Download,47.6,86.1,1,13.0,29,9.5,0,5.2,29,9.0,0,2.9,20,6.8,66,127.3,583,127.4,68,487.2,1484,580.0,0,0,0,37,18,0,2,3,0,0,0,18,10,0,1,2,0,0,0,19,8,0,1,1,78,76,,TLSv1.3,656b9a2f4de6ed4909e157482860ab3d,OK,eb1d94daa7e0344597e756a1fb6e7054,OK,h2;http/1.1,,,,h2;http/1.1,20;30;5;0;0;0;0;0;0;5;0;0;0;0;0;0;5;0;5;5;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0,

